31413100000,3,KUHALONG,31400000000
31414700000,3,RAJBILA,31400000000
31416300000,3,SUWALAK,31400000000
31417900000,3,TANKABATI,31400000000
31420100000,3,"WARD NO-01, BANDARBAN PAURASHAVA",31400000000
31420200000,3,"WARD NO-02, BANDARBAN PAURASHAVA",31400000000
31420300000,3,"WARD NO-03, BANDARBAN PAURASHAVA",31400000000
31420400000,3,"WARD NO-04, BANDARBAN PAURASHAVA",31400000000
31420500000,3,"WARD NO-05, BANDARBAN PAURASHAVA",31400000000
31420600000,3,"WARD NO-06, BANDARBAN PAURASHAVA",31400000000
31420700000,3,"WARD NO-07, BANDARBAN PAURASHAVA",31400000000
31420800000,3,"WARD NO-08, BANDARBAN PAURASHAVA",31400000000
31420900000,3,"WARD NO-09, BANDARBAN PAURASHAVA",31400000000
35100000000,2,LAMA,30000000000
35111500000,3,AZIZNAGAR,35100000000
35113100000,3,FASYAKHALI,35100000000
35114700000,3,GAJALIA,35100000000
35116300000,3,LAMA,35100000000
35116800000,3,RUPSHIPARA,35100000000
35117900000,3,SARAI,35100000000
35120100000,3,"WARD NO-01, LAMA PAURASHAVA",35100000000
35120200000,3,"WARD NO-02, LAMA PAURASHAVA",35100000000
35120300000,3,"WARD NO-03, LAMA PAURASHAVA",35100000000
35120400000,3,"WARD NO-04, LAMA PAURASHAVA",35100000000
35120500000,3,"WARD NO-05, LAMA PAURASHAVA",35100000000
35120600000,3,"WARD NO-06, LAMA PAURASHAVA",35100000000
35120700000,3,"WARD NO-07, LAMA PAURASHAVA",35100000000
35120800000,3,"WARD NO-08, LAMA PAURASHAVA",35100000000
35120900000,3,"WARD NO-09, LAMA PAURASHAVA",35100000000
37300000000,2,NAIKHONGCHHARI,30000000000
37311900000,3,BAISHARI,37300000000
37313800000,3,DOCHHARI,37300000000
37315700000,3,GHANDUNG,37300000000
37317600000,3,NAIKHONGCHHARI,37300000000
38900000000,2,ROWANGCHHARI,30000000000
38911900000,3,ALIKHONG,38900000000
38913800000,3,NOWA PATANG,38900000000
38915700000,3,ROWANGCHHARI,38900000000
38917600000,3,TARACHHA,38900000000
39100000000,2,RUMA,30000000000
39111900000,3,GHALANGYA,39100000000
39113800000,3,PAINDU,39100000000
39115700000,3,REMAKRI PRANSA,39100000000
39117600000,3,RUMA,39100000000
39500000000,2,THANCHI,30000000000
39511900000,3,BALIPARA,39500000000
39513800000,3,REMAKRY,39500000000
39515700000,3,THANCHI,39500000000
39517600000,3,TINDU,39500000000
40000000000,1,BARGUNA,
40900000000,2,AMTALI,40000000000
40911300000,3,AMTALI,40900000000
40911500000,3,ARPANGASHIA,40900000000
40912300000,3,ATHARAGASHIA,40900000000
40913900000,3,BARABAGI,40900000000
40914700000,3,CHOWRA,40900000000
40916300000,3,GULISAKHALI,40900000000
40917100000,3,HALDIA,40900000000
40917900000,3,KARAIBARIA,40900000000
40918700000,3,KUKUA,40900000000
40919400000,3,PANCHA KORALIA,40900000000
40920100000,3,"WARD NO-01, AMTALI PAURASAVA",40900000000
40920200000,3,"WARD NO-02, AMTALI PAURASAVA",40900000000
40920300000,3,"WARD NO-03, AMTALI PAURASAVA",40900000000
40920400000,3,"WARD NO-04, AMTALI PAURASAVA",40900000000
40920500000,3,"WARD NO-05, AMTALI PAURASAVA",40900000000
40920600000,3,"WARD NO-06, AMTALI PAURASAVA",40900000000
40920700000,3,"WARD NO-07, AMTALI PAURASAVA",40900000000
